Player,Team,Pos,G2,MP2,G,GS,MP,FG,FGA,FGP,ThPt,ThPtA,ThPtP,TwoPt,TwoPtA,TwoPtP,FT,FTA,FTP,ORB,TRB,AST,STL,BLK,TOV,PF,PTS
Natalie Achonwa,IND,F,24,195,24,0,195,36,66,.545,0,0,,36,66,.545,14,20,.700,16,47,6,10,1,12,27,86
Matee Ajavon,ATL,G,32,338,32,2,338,36,118,.305,3,13,.231,33,105,.314,30,40,.750,19,52,38,12,8,33,52,105
Kayla Alexander,SAS,C,25,489,25,0,489,77,141,.546,0,0,,77,141,.546,46,61,.754,47,113,13,11,13,28,55,200
Rebecca Allen,NYL,F-G,21,280,21,6,280,45,98,.459,17,30,.567,28,68,.412,13,15,.867,12,35,11,9,11,13,35,120
Ameryst Alston,NYL,G,1,0,1,0,0,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0
Jayne Appel-Marinelli,SAS,C,34,786,34,34,786,51,119,.429,0,4,.000,51,115,.443,36,49,.735,41,184,72,30,35,54,113,138
Seimone Augustus*,MIN,G-F,29,765,29,29,765,138,300,.460,13,39,.333,125,261,.479,37,46,.804,14,84,71,15,11,55,43,326
Rachel Banham,CON,G,15,164,15,0,164,20,49,.408,13,37,.351,7,12,.583,2,3,.667,1,11,14,8,1,8,19,55
Mistie Bass,PHO,F,33,434,33,1,434,37,80,.463,0,0,,37,80,.463,22,27,.815,28,64,25,16,11,20,49,96
Vicki Baugh,SAS,F-C,11,148,11,0,148,19,33,.576,0,0,,19,33,.576,6,9,.667,16,41,3,4,3,14,25,44
Alana Beard,LAS,G-F,34,997,34,34,997,100,214,.467,13,38,.342,87,176,.494,27,39,.692,31,111,73,58,20,43,96,240
Evgeniya Belyakova,LAS,F,21,238,21,0,238,16,54,.296,5,28,.179,11,26,.423,7,16,.438,2,15,15,13,1,8,24,44
Alex Bentley,CON,G,34,979,34,34,979,169,439,.385,48,168,.286,121,271,.446,51,65,.785,10,63,85,30,3,49,84,437
Tiffany Bias,DAL,G,10,64,10,0,64,8,23,.348,3,11,.273,5,12,.417,10,12,.833,1,5,6,2,0,11,5,29
Sue Bird*,SEA,G,34,1076,34,34,1076,160,356,.449,72,162,.444,88,194,.454,44,56,.786,6,97,196,34,6,84,46,436
Abby Bishop,SEA,F,13,67,13,0,67,4,11,.364,1,6,.167,3,5,.600,3,4,.750,0,6,8,1,1,1,17,12
DeWanna Bonner,PHO,G-F,34,1064,34,24,1064,154,363,.424,50,152,.329,104,211,.493,134,168,.798,42,182,83,44,21,56,55,492
Brittany Boyd,NYL,G,33,651,33,9,651,75,208,.361,6,36,.167,69,172,.401,59,81,.728,17,83,119,52,3,65,82,215
Imani McGee-Stafford,CHI,C,31,587,31,16,587,87,157,.554,0,0,,87,157,.554,33,50,.660,54,175,18,19,42,28,94,207
Jessica Breland,CHI,F,34,585,34,16,585,87,176,.494,0,0,,87,176,.494,31,39,.795,44,151,24,17,37,36,75,205
Rebekkah Brunson,MIN,F,33,812,33,33,812,92,193,.477,0,1,.000,92,192,.479,60,70,.857,73,240,58,30,9,28,84,244
Adut Bulgak,NYL,C,7,23,7,0,23,5,11,.455,1,2,.500,4,9,.444,3,4,.750,3,9,0,0,0,1,3,14
Cierra Burdick,ATL,F,8,29,8,0,29,1,8,.125,0,0,,1,8,.125,1,2,.500,3,4,0,0,0,2,6,3
Essence Carson,LAS,G,34,791,34,34,791,102,227,.449,23,64,.359,79,163,.485,49,55,.891,12,68,52,37,8,42,46,276
Swin Cash*,NYL,F,31,604,31,23,604,61,161,.379,1,8,.125,60,153,.392,41,60,.683,38,105,43,23,14,41,54,164
Tamika Catchings*,IND,F,34,844,34,34,844,146,337,.433,35,100,.350,111,237,.468,106,123,.862,40,163,66,62,10,42,70,433
Tina Charles,NYL,C,32,1077,32,32,1077,273,622,.439,17,49,.347,256,573,.447,125,154,.812,74,317,121,27,25,63,48,688
Karima Christmas-Kelly,DAL,F-G,34,1075,34,34,1075,128,320,.400,38,120,.317,90,200,.450,129,162,.796,82,200,71,41,23,51,93,423
Layshia Clarendon,ATL,G,34,959,34,32,959,124,266,.466,18,52,.346,106,214,.495,88,115,.765,43,147,118,25,3,75,79,354
Alysha Clark,SEA,F,33,911,33,32,911,105,217,.484,36,93,.387,69,124,.556,50,59,.847,40,121,64,24,2,44,87,296
Natasha Cloud,WAS,G,31,753,31,28,753,56,161,.348,23,68,.338,33,93,.355,43,57,.754,5,94,118,24,3,43,65,178
Marissa Coleman,IND,G-F,32,781,32,21,781,85,246,.346,33,123,.268,52,123,.423,64,85,.753,23,105,63,29,9,56,67,267
Sydney Colson,SAS,G,34,573,34,0,573,59,137,.431,5,26,.192,54,111,.486,49,59,.831,14,55,87,38,1,51,62,172
Kahleah Copper,WAS,G-F,30,487,30,3,487,65,156,.417,14,30,.467,51,126,.405,43,63,.683,13,92,23,15,2,33,54,187
Carla Cortijo,ATL,G,27,294,27,1,294,45,127,.354,13,45,.289,32,82,.390,25,32,.781,4,42,43,8,1,28,32,128
Anna Cruz,MIN,G,6,60,6,0,60,5,11,.455,1,1,1.000,4,10,.400,6,6,1.000,1,6,12,2,0,2,8,17
Monique Currie,SAS,F,34,868,34,34,868,125,324,.386,25,78,.321,100,246,.407,90,98,.918,36,148,73,27,13,61,89,365
Ana Dabovic,LAS,G,22,236,22,0,236,20,54,.370,3,19,.158,17,35,.486,22,29,.759,6,17,29,13,0,19,37,65
Elena Delle Donne,CHI,F-G,28,927,28,28,927,214,441,.485,43,101,.426,171,340,.503,130,139,.935,48,197,53,16,43,35,64,601
Erika de Souza,CHI,F-C,31,516,31,18,516,77,149,.517,0,0,,77,149,.517,27,36,.750,61,161,20,17,22,22,63,181
Skylar Diggins,DAL,G,27,765,27,25,765,113,290,.390,23,77,.299,90,213,.423,104,132,.788,12,51,91,29,8,63,53,353
Zoi Dimitrakou,WAS,F,2,11,2,0,11,1,3,.333,1,2,.500,0,1,.000,0,0,,0,1,1,0,0,1,3,3
Stefanie Dolson,WAS,C,34,765,34,31,765,119,247,.482,9,30,.300,110,217,.507,70,83,.843,48,159,38,13,32,39,88,317
Clarissa Dos Santos,CHI,C,20,187,20,0,187,20,59,.339,0,1,.000,20,58,.345,17,20,.850,19,44,9,5,4,10,31,57
Jelena Dubljevic,LAS,F,15,79,15,0,79,9,22,.409,1,3,.333,8,19,.421,3,3,1.000,2,13,7,1,1,7,10,22
Candice Dupree,PHO,F,32,930,32,32,930,152,281,.541,0,1,.000,152,280,.543,57,72,.792,39,171,61,26,5,34,58,361
Frida Eldebrink,SAS,G,8,44,8,0,44,1,8,.125,0,6,.000,1,2,.500,1,2,.500,1,3,7,1,0,4,2,3
Kelly Faris,CON,G,31,317,31,0,317,21,53,.396,5,20,.250,16,33,.485,14,15,.933,12,38,22,22,4,29,45,61
Jamierra Faulkner,CHI,G,34,655,34,14,655,102,240,.425,22,66,.333,80,174,.460,40,52,.769,10,50,156,36,4,70,60,266
Nirra Fields,PHO,G,4,17,4,0,17,1,7,.143,0,1,.000,1,6,.167,1,2,.500,0,0,0,0,0,2,2,3
Sylvia Fowles*,MIN,C,34,969,34,34,969,182,306,.595,0,0,,182,306,.595,109,152,.717,84,290,42,45,61,63,101,473
